,commentor,comment
1361,Atul singh,I love the way sir teaches every complicated things into a simple one with great examples
1362,Yash rathour #RDJ,"It's a noble cause sir.......It's really appreciable....
My elder brother is now working as a software engineer and learned  'C' Language from your free YouTube videos....., And now he recommend your  playlist for my kind of fresher.
Thank you sir"
1363,vanya sharma,Thankyou so much sir....and the lecture was really awesome 
1364,Arbaz Alam,Sir can't explain my happiness  bcz i nvr thought that this kind of education can we get without paid such a great  teacher lots of love for you sir ️️
1365,lavi prod,Sir really i don't know how to express no words..actually your teaching way is great each and everyone can understand easily...amazing sirg!
1366,Abhishek Pathak,"Thank  you sir for live classes in youtube again also i learn lot of tings form you also you  tell new thing in class,nice to hear your motivation     and i relly  enjoyed your teaching style you are best teacher in the world.... "
1367,abdul basit,"Sir while teaching please ignore comments, we are here for studying and want your valuable time for studying. Please. Sorry if you feel bad."
1368,Deepak Kumar,Thank you so much  Guruji for giving us this amazing opportunity once again
1369,Abhinav Kumar,"You are great human being apart from being excellent teacher .. Keep educating us ..,,"
1370,Ashay Bhojanes Musical Journey.,Sir your efforts are really appreciated. Thank you.
1371,Manish kumar,Wow! What a fantastic teaching style️️️
1372,Arbaz Alam,Students who learns programming from your channel may be the luckiest students no one compete you bcs sir you break tough topics in a very simple way unbelievable
1373,Rohit Date,"Textbook was very useful and helpful.

Amazing course and amazing professor

Thanks sir Basics bht strong ho raha. Hai ....️️️"
1374,Ankit Khanna,Thank you so much sir for live community classes 
1375,HRK Tech,Great concept explanation sir 
1376,styles123,The best thing about the saurabh sir c++ course is we have lifetime access
1377,Nitin Dhande,"Hello sir, i am very happy to get access of c community classes to improve my coding knowledge and change in view of problem solving  and I love teaching skill to understand every student required stage . Thank you sir"
1378,______Ꮇя विशाल ________༒͢  ࿐,"Thnq so muchhh, this means a lots to me  , i am beginner and looking for c language course and u r providing it for free , thnq sir "
1379,Advanced world,"Everything is crystal clear in he mind. C language m mastery ho gayi h aapse padh padh kar .Really sir , how to appretiate your efforts, we are so lucky that we got teachers like you."
1380,Sushila Sutar,Thank you so much sir for this classes  i m really excited & curious for learning the c language again
1381,Muhammad Suleman,"Sir your way of teaching is so amazing ...
I really excited that i am going to learn programming from you 

Recently, i was learning from Apna College that is youtube channel related to programming where Ma'am Shraddha is teaching ...
I could not understand the chapter of Function of C language ...
Then i started to scroll youtube for understanding the chapter from other youtube channels ...

During scroll, i saw your videos about function of C language. I realize that your way of teaching is so amazing and fantastic.

Now, I have been enroll in C language community classes after watching your new playlist of C language.

Thank you so much for your great afford "
1382,krishan talwar,We all needed this type of sessions. Thanks for this video sir
1383,Rohit Date,Amazing course and amazing professor️️ thanks a lot sir ...
1384,Siddharth Raj,Sir I  did fall in love in coding only because of you. I wasted my 1 year on YouTube now I am in right placed. I watch your all video on YouTube. sure one day I will do as same as you I mean to say free education to all to be honest I love teaching. I love you from bottom of my hear ️
1385,rajni kant,Amazing class with directions of good teaching !!
1386,Ramana Murthy,Undelivable way of teaching .Great.Hats of to you.
1387,Sakshi Sharma,Thank u so much sir for this   classes  we are really needed this classes
1388,Shubh Sharma,"Thanx sir 
Literally I am so happy sir to see this course "
1389,ATANU Mondal,"I like your teaching style, because , you provided basic and deepest concept of every topic, thank you sir"
1390,Trends updates,"Thank u very much sir, for such a this type of student who r not able to paid coaching fees but ur r like a gem of all poor students 
I love thousand "
1391,pooja giri,This class is great way to success...thanku sir for your support .... your are a great teacher 
1392,Bhanu Pratap,Thank you so much Sir providing C language Classes..... 
1393,Prateek Sharma,"Good evening sir, I'm one of your students from when you used to teach at SCA(Sharma Computer Academy). You taught me my first language(C) and I would like to contribute back to the community. Sir, if ever you host a Bootcamp and would like to have a helping hand I would be glad to help and also bring some of my friends. Thanks a lot, sir for being an inspiration to us and teaching us a lot of things."
1394,RGC,"Love you sir for honourable content 
I think you change the education system of India  and our knowledge"
1395,Jayanta Kumar,"Sir, your teaching style is just awesome. I have never seen this type of teaching style. So I love you sir."
1396,Shelar Avantika,Thank You So Much Sir For These Useful Class 
1397,Arun Soni,"Evening Sir,I Arun Soni following you from around 6 months.
I have already watched your c course completely on YouTube
Now it will gonna be new.
So feeling excited and happy about it.
I had taken your job ready bootcamp
Hoping that will be more wonderfull."
1398,sudarshan jha,Thank you sir for arranging the course which lots of help us.
1399,Asif Iqbal,Very informative session. Very very thank you sir for this community classes.
1400,Pranjal Upadhyaya,"A lots of Thanks to Shukla sir. The way you teaching is superb and understandable. I am starting this community class very lately so i didnot get inform that u had started. After watching your 1st lecture,
I have a question in my mind that every programming language written by helping other programming language, so what language used for buiild the C language?"
1401,Shrutika Mahindrakar,Thank you so much sir for this class 
1402,L.R,Sir i'm beginner but I have still understanding  about concept of c language ...tnx for this guidance... Tnx for this help ...so much
1403,Ajay Shakya,"Sir, I want to that if you will use vs code throughout this course which are plus point for us. So, i request you to use VS code.
And i also enrolled to your job ready bootcamp c/c++ course ️"
1404,Ashraf Ali,"Great sir
I just started studying and everything is clear..."
1405,SNIGDHA ROY,Thank You Sir For This class....
1406,Dance[sky] COMEDY,U r the best sir no one can beat your concept I watched ur c language course which is uploded 7 year ago on ur you tube chennal that is amazing.
1407,कन्हैया आर्य,"Sir, you are deliver all things in very good way. "
1408,BBG BBG,Amazing class sir 
1409,All in one,Thank You Sir For This class...........
1410,SHREYA TIWARI,"Thank u Somuch Sir for this type of Content
It was Very helpfull sir for all beginner
"
1411,SWAG FF,"Love you sir 
Best teacher in the world "
1412,somya shukla,Thank you so much sir for this classes
1413,Technology Developed,Thank you so much sir I am very excited about this opportunity learn c language.
1414,Lucifer.!!,"DAY-1
Thank You Sir!! "
1415,Hrisheeta Roy,Thank you so much sir these classes
1416,Prince Jha,Super easy explanation... 
1417,#Kanhaiya_sahu,Very amazing sir 
1418,asim farooq,"Simply best
Blessings for you sir g and yours family"
1419,College Pathshala,Amazing session
1420,Anurag Kashyap,"Very Useful Classes
Thank You So Much Sir"
1421,KOUSIK NANDI,Thanks for teaching us sir
1422,Sanjay Parmar,"sir aapki community class bahot hi acchi hai , sir aap great ho aur aapla work bhi, me sabhi student  ko suggest karta hu ki aapka a job ready bootcamp course join kare...
"
1423,Tanvi Malhara,Best class 
1424,Mann Merwana,"Thank You So Much Sir .
Sir ,I am currently in sy,did c in fy.
lekin aapka  jo logic building wale playlist hai usme aapne jo dry run aur logic building sikhaya tha woh  sahi tha.
toh kya aap please dry run ka concept  ek baar fir sikha sakte  ho kya ."
1425,SYED MERAJ AHMAD,Very Nice Session Sir
1426,Sourabh,"Yes, it is worth of time "
1427,Debraj Malik,God of programming
1428,Tanmay kumar Swain,Thank you so much sir 
1429,Arbaz Alam,Sir very excited to learn c language fantabulous ssn
1430,technical status muna,"Thank you sir 
Aap ka teaching style best hai"
1431,Akash Tamrakar,Thankyou so much sir for new video in c i need this 
1432,NAVEEN BHARDWAJ,"jb v aap lecture deliever krte h ...ek alg trike ka hi level hota h,,,thnkk u so much sir for these"
1433,Er. Anjani Kumar,"Hello Sir , 
Please provide the notes of C language Community classes from day 1 as I am not getting them on ineuron website only day 14 notes is available there which is of Functions .
Thank you so much in advance "
1434,LAchiMOlala lost his James in BTSpartypartyyeah,Sir i wanna ask a advice. I am currently in 10th grade so can I start learning it now or should I wait for college?
1435,Shah Zahid,"Sir I am doing MCA at KASHMIR UNIVERSITY 
I have watched your full c programming playlist many times  but still I enrolled in this beautiful course because I like your teaching Art.
Thank you sir"
1436,Sarathi,Thanks a lot for your detailed video
1437,Anokhautomation,"For a beginner it will be a best tutorial 
I have shared the link to many of my friends and groups.
I think for a beginner they can use the devc++,or code block ide.
If you want to use vs code,need to install extension like code runner and mingw then set path on system variable ect ect......"
1438,Shivangini gupta,Yes sir your logic buliding course help us lot
1439,Ram Kumar Chouhan,very good programming skill sir
1440,Satyam Singh,Awesome sir ️
1441,S Gupta,Thanks you so much sir for this clasess
1442,Maths_practice_.,Thankyou so much sir...
1443,Antima Solanki,thank you so much sir 
1444,Sujoy Patra,Thank you so much sir 
1445,Manish kumar,thank you so much sir.
1446,Tabassum Ara,"Good morning sir
I want to be python classs,how can I start this python class"
1447,Aparajita Shambhavee,Thank you so much sir....!
1448,meera Kushwaha,Thanks sir  aap ki saare video  dekha  hai sach m bhut Sara  doute th but Aap ki  video  dekhy k Baad solve hogay 
1449,p n,Hello sir I'm switching in IT industry i join java course as well as i watching with java course video....i have question I'm 2017 passout after completing course can i apply for live project and hackthon please please guide how to apply for job in IT industry please give me answers
1450,gaurav Yaduvanshi,Thanku sir ji
1451,Aniket Tripathi,Continue with VS code sir.
1452,Parth Dhobale,"Hello sir,
 I am getting error while running  the code .

it shows a popup as ""Unable to start debugger.The value of miDebuggerPath is invalid.
so how to sovle it."
1453,jivan,Nice video sir please change the time 9:00 or 9:30 pm
1454,Safeer Alam,Thank you sir .
1455,Shivangini gupta,Nice to see you again 
1456,TY_ECE_64_Vidhate Prashant Prakash,Thanks sir 
1457,Vijay official youtuber,Thank you very much sir
1458,Vijay Rajput,Brilliant sir ji
1459,Shivam Yadav,Sir python bhi detail me padhaiye
1460,Akanksh Bhardwaj,Sir can i use dev cpp software
1461,Prince Jha,Thank you.. 
1462,Arbaz Alam,Due to pandemic i switched to it sector nd it's because of u
1463,ANKIT:-AIO;~,sir apka padh na ka tarika bhut acha hai sir humko bhut hrr jda pasand pdta hai tank u so much sir u video is very osm and your study stly ek dam jhkass sir i hope sir app asa hee asa video dala
1464,Mr. Ravi Creation,Thank you sir
1465,Manish kumar,Teaching️
1466,Bhavna Patidar,Tnq sir ji
1467,Gautam Parmar,Tnx. Sir.... Me programming sikhna chahta hu ...... 
1468,Vanshika Tyagi,Sir please proper course available kardo c language ka from zero to mastery.
1469,Harsh Vardhan Gupta,I'm very excited!!!
1470,Pawar Gaming,Sound is very low 
1471,Lokesh kumar,Thanks sir
1472,Rahulk085,i so beetter feel sir attend your c programming class
1473,SANJEEV PATEL,"Sir namste Hum 12th pass out hain Aur coding Learn karna chahte hain and also interested in this but Main Padhai chhod diya hoon, To kya main ek well trained programmer ban sakta hoon and can I get a job like CS engineer or IT engineers ? This question only for my self-confidence and encourage to forward it's humble request to you please give me my comment's reply
as soon as."
1474,Kejriwal Fans,Maza ayaa Sir. 
1475,ABHISHEK RAJ,Sir this is for bigginer also
1476,Geeta Katju,learning c for first time.
1477,Cricket Skill,Daily classes
1478,Prince Chaubey,Sir data structures ka course start kariye pls...
1479,rampal tomar,"सर मुझे c लैंग्वेज के बारे में कुछ भी नही पता है   आज आपकी पहली क्लास अटेंड की बहुत कुछ सीखने को मिला आशा है आगे भी आप इसी तरह आप हमें मार्गदर्शन देते रहंगे ओर हमे एक जॉब पाने के काबिल बनाएंगे 
सर मैने बीकॉम कम्प्यूटर एप्लिकेशन से ग्रेजुएशन किया है क्या मुझे यह सब सीखने के बाद सॉफ्टवेयर में जॉब मिल सकती है 
जवाब जरूर दीजियेगा सर मैंने पढ़ाई तो बंद कर दी थी लेकिन जीवन मे खत्म होने जैसा कुछ नही होता इसलिए फिर से अपनी पढ़ाई जारी कर रहा हूँ , अपनी मेहनत और लगन ओर आपके मार्गदर्शन  से एक अच्छी जॉब पाने के बाद आपसे जरूर मिलूंगा"
1480,Prakhar mishra,"Sir gcc is not recognized as an internal or external command , help me sir"
1481,Sultan Gaming,Sir data structure kab live hoga??sir pls start fast.. Most important hai...
1482,Deepak Kumar,️ u sir ji🫡🫡
1483,ShiVaM__Shorts,️️️
1484,Geeta Katju,"sir, ye pagefor c programming
  kaise kholte hain?"
1485,Gk with Sangeeta,Superb sir  me wait kar rha hu Java ka please
1486,NANI DADI Ki JODI _ 01,Muje zero knowledge h programming ka hope apke videos se sara clear ho jayega.
1487,Saif Ansari,
1488,Kunal Rai,Thanks to mysirjee
1489,Himanshu Chauhan,"Hello sir , notes kaise download honge"
1490,Pawar Gaming,Sound is very low
1491,Bhavna Patidar,Tnq sir ji
1492,programming is beautiful moments in my life,Sir very excited app classes
1493,Satender Kumar,Sir placement team ke saath collapse karke placement help kariye
1494,Mohd Tanweer Khan,"Sir hme aapke zoom ka link ya code  kha se milega

Please reply "
1495,Tech Zig,Thank you sir Ab main or mere frnds aapki new video dekh payenge
1496,Rahulk085,sir c languiage all unit reading.. classs and complete c language
1497,Addi Kshyap raj,Sir python ka v start kijiye
1498,vipul Badgujar,I don't know about programming... 
1499,Nupura Brahme,Thanks.
1500,Mr. Ravi Creation,Lecture 1
1501,ROHIT GURJAR,Sir kya DSA   c language k sath sikh skte h
1502,Sumit Meena,Sir me 23 ka hu or me weak hu programming me and 12th ke bad mene 2 sal bad is field me aya tb tk mujhe pta nhi tha so I want to know that me late to nhi hu na bcz when I look some people that my same age I feel anxiety and ek passion hota h wo khtm sa ho jata h or chor deta hu to plzz agr ap read kro to ignore Mt Krna batana mujhe sir kese suru kru abhi age kese bdhu mujhe koi teacher or guru chaiye guide dene wala BCA Kia mene
1503,Manya Bansal,"Hlw can someone please send the solution of assignment 1 complete
I am learning the c language for the first time that's why i am facing so much of problems"
1504,raman kumar,Sir mujhe python sikhni hai basic se guide me please
1505,Alka Singh,Sir C++ ki classes kab tak start ho sakti hai!!
1506,ROHIT GURJAR,Sir what about assignment assignment copy m likh kr Krna h kya
1507,Lakhan Solanki,Tq sir ji
1508,Pramendra Tripathi,Sir pehle please practice kar liya kariye(Running C In VS Code)
1509,Avinash Bansode,For mobile phone tell coding application?
1510,Mohd Tanweer Khan,"Sir hmko zoom ki link ya code kese milega ..

Please reply sir"
1511,ak motivational,"Sir notes open nhi ho rhe h  ??? 
What to do next??? Plz sir"
1512,Piyush 10th J 43 Kumar,Ok sir 
1513,Sagar Kumar,videos to chal rahi hai but assignment open nahi ho rhai hai
1514,Maneesh Jangir,"Cannot open source file ""studio h"" and studio .h : no file or directory  esi problem aa rahi h I am beginner sir and code bhi build nhi hua error bata raha h "
1515,Explorer,Sir please ekdm basics se start kre maine BSC maths hons kiya hua lekin government job ki preparation kr rha tha lekin ab mca krne ka soch rha hu
1516,Vijay official youtuber,Vs code setup Kitna kiye but nhi huaaa but Aapke class me hi gya
1517,Aakash Rawat,Sir zoom per live video kaise dekh sakte hai
1518,chandan choudhary,"sir access denied aara h jab assignment option krte h tab
download nhi hora h"
1519,Antima Solanki,sir stage 2 start krva degiye
1520,Narendersingh Darshansingh,c++ run nahi ho raha hai vs c0de me kiya ho sakta hai #<stdio.h> directory me nahi hai bol raha hai
1521,College Pathshala,Day 1 ( 1 July))
1522,akash Chauhan,how to best va code ya code blocks?????
1523,ARPIT KESHARI,Sir result kb aayega
1524,Mohd Tanweer Khan,"Sir zoom ki link ya code kha milega 
Main registration kr hu"
1525,Payal Singh,sir aap ki class  zoom PR kaise join kren plz Tell me sir
1526,Frag Fission,Sir cmd prompt se result nhi aa rha
1527,Abhay Singh,Sir path mein problem aari hai ki vha new path paste nhi hora hai
1528,Rishabh Jain,"Sir...
Assignment open nh ho rha h"
1529,Sumit Verma,Sorry sir I am late.
1530,Sidharth Kumar,Sir mere me test.c nhi sirf test file bn rhi h
1531,RAKESH ROY,Sir c kar ke course enrolled karunga. C yaha full sikhege na sir
1532,Rakesh Yadav,Mai notes nhi download kar pa rha hu sir
1533,Mashoor Darshan,Sir certificate nhi mil skta hai kya
1534,vanya sharma,Sir assignment is not opening
1535,Thunder gamer op,
1536,Satish Kumar,I am very beautiful class c language
1537,49 Shahzaib Parwana,Sir window function  dev compiler ma nai chal raha ha error da raha ha jab ki turbo ma chal raha ha pls gauid
1538,_Mahi_Official_,Sir next batch kb start hogi
1539,Sanjay Bhatt,Sir notes ma koi charge to nahi ha
1540,Pooja Wahatule,Sir live class Kya time kay he
1541,Raju Kumar Pandey,"Hello sir.... A""m unable to download assignment... Help!!"
1542,Portrait World,Sir assignment open nhi ho rha
1543,sunil chaudhary,Yes sir
1544,Abhinav Rk,Vs code pe karaiyega sir
1545,Rohit Albert,Sir kya  vs code mobile m instal ho skta h
1546,Kejriwal Fans,Sir website pe enroll nehi ho raha hei
1547,sush,include error path aa gya sir
1548,Sandeep Chaurasia,yes sir
1549,Amit Srivastava,Sir aap se milna chahta hu...
1550,Sukanshi Garg,Done
1551,Rohit Albert,Sir kya ham Android m ide use kr skte h
1552,SHIWANK SRIVASTAVA,"Sir, vs code m krte hi"
1553,Shivangini gupta,Hello sir
1554,Puja Puja kumari,mobile pe programme banaa mai hoga sir please reply sir
1555,Rohit Albert,Sir m mobile m c programme kese bnu koi app btaye please
1556,priyanshu kumar singh,Sir notes
1557,MD ALAM,Hello sir g
1558,Rishabh Jain,If any one kowns the how to open the assignment plz help me
1559,lucky sharma,sir mane aj se start ki h apki video dakna muje prize nhi milage ab 
1560,053-Nisha Kumari,Mujhe notes mil hi nhi rha hai
1561,Aniket Jain,thanks sir aacha sa samaj aa rha mana aaj hi join kayi h ton plz meri help karna k layi thanks
1562,CHANDAN KUMAR,ok sir
1563,Anjali Soni,To enrolled in this link
1564,Sagar Kumar,sir assignment oopen hone me problem ho rahi hai
1565,Mohd Tanweer Khan,sir
1566,somya shukla,Sir preprocessor kya hote h
1567,vipul Badgujar,Vs code..
1568,Anjali Soni,I can't entrolled in this course link sir please help me
1569,Sana khan,Sir my kabhii nhi padiii ap 0 se padhaiye
1570,The Lezend,Sir i am not able to download assignments
1571,Pawar Gaming,Sir sab kuch aacha he lekin sond aapaka bohot hi kam aata he
1572,Arghya Medhi,"Sir, mere pas laptop nehi hai kya mea phone se kar sakta hu?"
1573,BFFS,Mai pahli bar padh rahe hai
1574,kapil jaat,Thank you sir
1575,Math unlimited,Thanks sir
1576,🔱Aadinath🔱,Thank you sir
1577,Payal Singh,Maine abhi tk nhi sikha
1578,Barsoi Wala Vlog,Programing ka p bhi nahi pata hai sir
1579,ABHISHEK KUMAR,Avi tak nehi
1580,Sujit Paul,I have no idea about programming
1581,Anup Adhikari,sir greetings from Nepal
1582,ABHISHEK KUMAR,No sir
1583,Prayas Rajput,
1584,Dinesh Kumar,"Great Sir, you’re amazing.
After logic building course, this is a bonus to all students
Thanks a lot Sir
It can possible only by you
You’re doing incredible work for students and education system."
1585,Mohd Tanweer Khan,"Thank you thank you sir love u️️️️ 
May Allah Pak bless you in your knowledge and age. ️️

Aapke hi wajah se main C language Sikh pa rha hu pure concept ke sath ...
Aur aapne suddenly ek surprise bhi de diye hme ️️"
1586,Gangaprasad Tewary,"Sir, really you are doing a great job...
Your excitement with your fresh engagement with iNeuron is very much reflecting through your body language!! All the very best!! Your honest commitment, sincerity and passion towards teaching have always been your plus points...
Sir, what width and depth will be covered in the upcoming community course on C Language??"
1587,Mohit Gupta,My interest in programming was also developed because of your courses...Thanks a lot sirji...
1588,Rahul Sharma,Very excited sir ️ hats off to your thinking towards motivating students and to help in our career.
1589,Siddharth Raj,Sir I  did fall in love in coding only because of you. I wasted my 1 year on YouTube now I am in right placed. I watch your all video on YouTube. sure one day I will do as same as you I mean to say free education to all to be honest I love teaching. I love you from bottom of my hear ️
1590,Asif Iqbal,Sir you are doing splendid work for the benefit of the students. Very few people are like you in this profession. Hats off sirG.
1591,Neha Anand,"Sir, you are really doing well. Love you Sir! Thank you so much Sir for every effort of yours."
1592,Study Mate,"Got this channel just few weeks ago & after watching it respect for u sir can't be expressed in words  
love you sir"
1593,HRK Tech,"Thank you sir i am so excited for tomorrow class i love the programming because of you sir ji
Your C Language videos inspired me"
1594,Engineer's Mind & Motivation,Amazing planning for coding and technological awareness
1595,jatin kadiya,"Absolutely, right Sir,  after watching your channel videos ,& your teaching skill, i am interested in programming language coding."
1596,Syed Ahtsham Ul hussan,"Sir I am very excited because this is my first time live class 
Thanks a lot sir for your efforts
May God bless you sir"
1597,Shaurya Priyadarshi,Excited to see the classes sir
1598,solar system,"Sir ,You are a great Teacher "
1599,Aman Kumar Aryan,Thank you sir for giving this apportunity
1600,Rohan,"Wow .... wonderful news...
Thank you so much sir...
You're a wonderful person.... "
1601,SHIVANYA,"Extremely waiting for my ist class of C lang. 
Hit the like button and show the excitement "
1602,Bhagwati Dave,Great Idea and unique concept you are going to use. Congratulations!
1603,Chaitanya Larokar,Sir thank you. So curious to join live session 
1604,SHIVBA GUPTA,I love you sir your thought for  given free experience 
1605,kambas cvk,Sir aap is course me company me programming language kaise use hoti hai aur company me kam kaise kiya jata isse related projects bhi practice karne ke liye dena  you're great sir  me jab se aapki video dekhne lga hu tabhi se programing me interest aane lga hai
1606,Shahzaib Sarwar,"hi...sir i'm your big fan but i want to say that i have complete almost programming fundamentals by using the c++ language. but i want to learn java so plz tell me can you have any community of java 
you are a great teachar ...it's very important plz reply"
1607,Nishan,"Wow amazing sir
 love From NEPAL🇳🇵🇳🇵🇳🇵
Waiting for you classess️️"
1608,sujan mandal,"Please share this course
It is really halpful for all students ."
1609,Ayush singh,You are really a legend person ️
1610,Rishikesh Singh,you are all time superior sir
1611,Piyush Joshi,"Hi sir 
It's a great pleasure to comment 
Sir my query is that can I too start with this series of your or with your old one. 
As I am naive in programming."
1612,#Kanhaiya_sahu,"Thank you so much sir 
College start hone ke tym me aya ye course ossmmm"
1613,Vishal Kumar,Sir I am A B com graduate student ..sir what is my scope in coding can i learn coding and will i get good job offers after learning coding
1614,ajay kumar,Thank u sir i am ready for community class.
1615,tanvi t,sir since this is stage 1. sir please may i know total how many stages will be there?
1616,palash patel,I would suggest dont go with c language because no one use c language in today's world so java language is the best because it is use in industry and also it have little similarity with c language so start with java.
1617,Tanmay kumar Swain,Thank you so much sir 
1618,College2Company,Community classes me 1-2 industry level project hota to thik rehta
1619,Mukul Kumar,"Sir what is the correct time of the this c language community class? because in this video, time is shown as 9:45 PM and in ineuron website time is written as 6 to 7pm. So, I want to know the correct time of this community class."
1620,ROCKY BHAI,"bas student ko mehnat karne ki jarurat hai , i love you sir"
1621,RANDHIR  SINGH,Surely sir I will share in all my friends. 
1622,Tushar Sharma,"Thanks sir,
 
Thank you from my bottom of my heart"
1623,Aarti Nagar,"Good evening sir. I am learning Korean language and also I have started learning C language so what are the opportunities for me getting job...
Sir my English is not that much better so how can I improve my English so that I can get job soon??"
1624,somya shukla,"Thank u so much sir 
Aap bahot Achhe teacher h"
1625,Lucifer.!!,Thank You Sir..!! 
1626,kush,Thank you sir 
1627,Aman Kumar Aryan,I am very excited this class
1628,Kamala kant,"Thanks you Sir... I'm from u.p. I'm learning programing language my 
Qualification IT sector my cource Nielit institute'O' level and 'A' level, or MCA('B' level).."
1629,SABA AZEEM,Sir you're mega star
1630,ashanu,sir i already enroll in inueron i should go for this course
1631,aditya kumar,"Sir mai v apke video dekh kr hi sikha hu sb kuch us time mere pass paise nhi the utne ,
Or apki sari video free thi jo kafi helpful tha hmlogo k liy,


Literally apki c ki video bhot hi awesome thi or kafi motivational thi CDAC institute k students bhi sare apke video dekh dekh kr sikhe logics "
1632,kishan kumar,Thank you so much sir 
1633,ARMY LOVER,Sir you are best ️️️
1634,Ayush Kumar,sir maine aap hii se programming sikha hain.....aur jab maine apka lecture mere dost ko dikhyaa to woo apka fan hoo gaya sir....one of my best teacher in programming
1635,GAUTAM KUMAR,Thanku sir
1636,Ali,front end k liye OOP krni chahiye as a beginner
1637,sprayG0D,"Sir, on your course the time is something else!!

So which one is the appropriate?"
1638,Namaste coders,We all are expected to seeing you..
1639,#Kanhaiya_sahu,"And hence 
Revolution beginssssss"
1640,Ajay Soni,Thanku sir 
1641,Ajeet Dev,Thank you so much sir
1642,Divyansh Laad,Sir classes will be everyday or only tueaday
1643,Gaming with kings 👑,Sir super duper excited 
1644,Gajendra Mehta,Sir are you starting from start and complete to end?
1645,Sumit Kumar,Thanku sir g
1646,Kapil Sharma,Thanks sir.... 
1647,Nikita Choukse,great sir  thankyou so much sir
1648,Indrajeet Prajapati,Thank you so much
1649,Shahid Ali,Thank you sir
1650,Rupesh Kumar,Thank you sir g
1651,the online study classes channel,Aap mahan hai sir jo  pichhde bachho ke liye itana kuch kar rahe hai mai apko Dil se thank you karta hu sir ji
1652,Nilesh Pawar,Sir please start C++ language.
1653,Badal Kumar,Great sir
1654,ARBIND YADAV,what is timing for tomorrow sir
1655,GAMER SANTOSH,Good evening sir
1656,ROCKY BHAI,sir apke padhane se lagta hai job lagne se koi nahi rok sakta
1657,Aniket Tripathi,Sir bootcamp wale course me Oops ka concept bhi pdhaoge naa aap?
1658,Mr. Ravi Creation,Classes kon se platform pe hogi sir. Is it live on youtube or zoom
1659,Mohammed Shaar,thankyou so much sir realy thankyou
1660,Jibon Condro,Nice video
1661,Rohit Yadav Mudra,Sir Class timing ??
1662,pradeep kumar,Very excited sir
1663,Sagar Kumar,Wow sir mausam suhana hai great sir
1664,kirtansingh solanki,Thankyou sir
1665,Sumit Sharma,Thanks sir
1666,Darkx YT,Tq sir  for bootcamp
1667,Haryanvi Lyrics,Bhut hi achi video hain sir
1668,Annuj Jha,Class timing?
1669,Manjit Singh,Thanks sir jii
1670,ANKIT ENDORSED,Sir c++ ka bhi live video lac. Hota to bahut hi khusi hoti
1671,Rohit Albert,
1672,Dhiraj Kumar,How much time give in coding for job ready for non tech background students
1673,Pawan Kumar,Sir bootcamp ka timing Raat me ho sakta hai ??
1674,Akash GUPTA,Sir c++ with DSA ka koi course launch kariye please
1675,Aayush Raj,The course will be on windows?.na.
1676,gaurav Yaduvanshi,Love you sir ji 
1677,Rohit Yadav Mudra,Class Starting date ??
1678,Prince Patel,Best sir
1679,yasvant kumar,Mai bhi aap hi se padha hoon sir
1680,Nasim rock,Sir ye course basics se hi start krenge ap
1681,rushi raut,Sir How to join live lecture
1682,Suresh Singh,
1683,Dharmendra sharma,️
1684,sanjay mishra,Sir assignments bhi dijiye ga
1685,ashish Dubey,Classes ko join kaise karna hai
1686,Deepak Pal,Sir new batch kab se start hoga.
1687,Adeel Ashfaq,Sir love you
1688,Chintu jha,sir java ka latest banaye na plzzz ye bhut old wala vedio apka channel pr
1689,Ashu wing's,sir unhone company'ke lye kaise apply Kiya koi certificate tha
1690,ajay kumar,Sir  kya aap java course laa rhe h
1691,rajesh rajesh,Sir mene BSC IT 1St year admission liya he aage ka koi computer experience nahi C language aapka pahele ka series dekhu ya latest vala I confused I'm beginner pls ans me sir
1692,Sagar Kumar,maine abhi c language complete ki hai mysirg se or 2 jully se bootcamp start ho raha hia to I am ready for reviseion or all friends
1693,Central Inbox,Java Classes
1694,Learning4You,Sir c language basic se start krenge n
1695,Ajitesh Kumar,Sir C++ ???
1696,Sakshi Salunke,Sir DSA ki community classes liji ye
1697,Vikas Upadhyay,Sir bakiyon ki dukan to band ho jayegi .................. Itne best courses jab free me aor bahut saste me avail hoga to
1698,kingriff,i m in now
1699,sajad ahmed,"Sir data analyst
Or business analyst
Ka course bee banaye"
1700,Ranjana Sagar,Hello sir
1701,Darkx YT,Sir c++ me karo please
1702,Deepak Pal,I am non technical.
1703,Neha Sharma,Sir community classes English me hongi ya hindi me
1704,Sandip Kamble,DSA with C++ ka class kb aane vala he ....?
1705,Ali,sir front end k liye kitni javascript sekh lu
1706,Deepak Pal,Hi sir
1707,Ali,sir
1708,shantanu mali fan of arijit singh sir,Timing sir
1709,virendar****,Sir aapke  purane video dekhe ya new   video dekhe
1710,SAURAV SAMAL,Sir maine apka job ready bootcamp course purchase kiya tha .. par usmein abhi kuchh pre uploaded videos show ho rahe hain.. maine kuch galat course purchase karliya kya??
1711,aditya kumar,Sir what is your linked in id
1712,Shivi,Thank you sir
1713,Niraj Kumar,Awesome video sir ji
1714,🎶Music World 🎶,️️️
1715,LEARNING _DESIRE,Great
1716,bad Vibes,Voice is little bit low
1717,Koushik Roy,Good video
1718,yash shah,"sir , winner video you miss i think..!"
1719,Discoverial Mind,Sir me demotivate ho gaya
1720,Ritika Rana,How do we apply for hackathons ?
1721,Bilal Mirza,Nothing impressive. All are very basic projects
