,commentor,comment
141,53 Govinda Raut,Sir ye cource abhi join kar sakta hu ka
142,NIMCET 2022,"hello sir, sir mera nimcet nh clear hua kya hmko drop lena chahiye nit ke liye"
143,Lovish Duggal,"sir,jisne late batch join kiya hai uski assignment check nhi hogii??"
144,ravi kumar,C++/DS Batch Bootcamp join fee regarding information
145,53 Govinda Raut,Bootcamp abhi join ho sakte he kya
146,deepak sahni,"Amazing offer…I am sure nobody can come up with something like this. Really appreciate your efforts towards making people life better with your knowledge.
I would have bought it without even thinking…unfortunately i have spend my savings already last month on somewhere else to learn java…which ultimately was a wast of money. But I will share it with my friends to have a look.
Appreciate your efforts "
147,RDS,"Thank you sir, great offer for all IT learners,   is here available your python new course?"
148,Ajay Singh,"Happy Independence Day SirG....
My best teacher ever...
Jai Hind!!!"
149,D. P. Vachhani,"This is Great Offer !!
Amazing........
I already student of your Full stack web development with Python, React,  Django....
I am fully satisfied in your teaching.
so i suggest with !00% confidence to all student who are in IT field to join this course"
150,ajay kumar,"As i am student of c,c++ dsa ,i find you are great teacher of india and changing the learning and teaching system .great sir pranam"
151,ANAMIKA SHREE,Best teacher of the world
152,D. P. Vachhani,MySirG you are really Great. thank you sir
153,MOHIT_ MHT,Kya bat hain SirG   Thank You So much ️️
154,Pavankumar Mhaske,Sir the Offer is Amazing .
155,Mr. Ravi Creation,"I m really surprised  sir..
But I already joined c++  & dsa bootcamp course....
Really great offer"
156,aman dwivedi,Full stack development with python or javascript which is better. I tried calling you in bhopal branch but it is out of coverage right now.
157,sanjay mishra,Can I see this course in smartphone in recorded form ? And practical in desktop computer after seen lecture.
158,sanjay mishra,Sir can I see this course in smartphone in recorded form. Offer is zabardast. Sir please tell me Duration of this course. And How can I buy this course?
159,Mohammad Khalid,Price is showing in $ dollar. Please check and confirm. Courses are really good with good price range.
160,vibhakar,When I sign up for your course why last name is mandatory? My name is vibhakar
161,TooRuhlateable,Aarthik Sainik. Perfectly said
162,Jatin Rathod,That amazing  sir pr itne saare courses ke liye time km pd jayega haa agar lagataar bin thake pdta jau machine ki tarah toh shayad ye sb pd paonga
163,Manish Raj,"Sir i want to buy your job ready bootcamp course in c/c++ dsa iot...can i buy it now??
Or after buying it, course will accessible for life time as a recorded format..."
164,Priyanshu Dongre,sir is course me live class chalengi  ya nhi
165,Udisha Bajpai,Thank you so much sir for make us understand basic concepts..
166,NILESH KUMAR,Sir  hats off to your dedication..as u said in free course very few students  are eager about  learning concepts but still u care for us
167,Udisha Bajpai,"Sir,  There will be  a python course going  to start where we will build a project..when it will start..
Please upload that link to register for that course."
168,Uruj Shaikh,Sir when is stage 2 of python coming ???
169,Zaryab Zubair,sir waiting for stage 2
170,Swapnil Chavan,"Sir aap itne basic se teaching kar rahe amazing, Itna basically Mujhe data engineer course nahi MIL raha hai."
171,Manisha Jadhav,"Hello sir ,how much fee of python course?"
